bin,mean,count,centre
"(-0.0023, 0.668]",3.3954898342696973,38,0.33285000000000003
"(0.668, 1.331]",3.230172856600074,23,0.9995
"(1.331, 1.993]",3.3007362686364865,35,1.662
"(1.993, 2.656]",3.167578393136864,29,2.3245
"(2.656, 3.319]",3.198700120630061,41,2.9875
"(3.319, 3.981]",3.0017367426992436,28,3.65
"(3.981, 4.644]",3.004754637022095,40,4.3125
"(4.644, 5.306]",3.044129005974744,34,4.975
"(5.306, 5.969]",2.9640780424421744,28,5.6375
"(5.969, 6.632]",2.824162780658634,38,6.3004999999999995
"(6.632, 7.294]",2.877142446267607,30,6.962999999999999
"(7.294, 7.957]",2.7779198937049285,36,7.6255
